len||vi||Dictionary||Loanformer||PhoBERT-fused NMT||Transformer
27||Phối hợp với Sở Thông tin và Truyền thông, các đơn vị liên quan chuẩn bị các ấn phẩm tuyên truyền, tổ chức các cuộc họp báo||Phối hợp sơm Sở Thông tin sơm Truyền thông , rim đơn vĭ liên quan chuẩn bị rim hmĕt phẩm tuyên trŭn , tổ chức rim cuộc hop pơ-ang||Adrĭng Sơ Thông tin weng trŭn thông, rim đơn vĭ liên kuan chuân 'bi rim âÊn phâm pơtho khan, pơlĕi rim măng hŏp 'băo pơtho khan||Adrĭng Sơ Thông tin weng trŭn thông, rim đơn vĭ liên kuan chuân 'bi rim măng hŏp pơlĕi rim măng hŏp pơtho khan, pơlĕi hop rim măng||Adrĭng Sơ Văn hoa weng Thê thao chuân 'bi rim âÊn phâm pơtho khan, pơlĕi rim măng hŏp 'băo pơtho khan lơ̆m Liên hoan
35||Trường hợp không đủ chỗ bố trí cho nhu cầu thì sắp xếp thứ tự ưu tiên như sau: sinh viên ngoại tỉnh, sinh viên nghèo, sinh viên học giỏi, sinh viên năm đầu tiên.||Trường hợp bĭ tơ̆l dơnŏ 'bă trí ăn nhu sơmah thì sắp adon tơdrong jjo inh ưu yă yang như đưng kơdŭ : sinh viên ngoai tỉnh , sinh viên dơnuh , sinh viên hok hơgĕi , sinh viên sơnăm kơ̆l yă yang .||Tơdrong bĭ duh thi trương wă ăn sinh viên thoi ơĭ tơdrong pơtơ̆p đăm đưng rŏng ơ̆u: ngoai tinh, sinh viên, sinh viên, jê̆ hŏk sinh, sinh viên atung hŏk sinh, sinh viên atung hŏk||Tơdrong bĭ 'bŏ trĭ duh 'bŏ trĭ tơdrong wă thoi ơĭ tơdrong pơgloh đưng rŏng ơ̆u: bơngai lư sơnăm pơtơ̆p pơtho, tŭk bơngai, pơtơ̆p pơtho, sinh hoat ngoai trung hŏk kơ sơ||Tơdrong bĭ 'bŏ trĭ duh: pơgloh tơdrong thu 'yŏk đĕi dơnŏ pơlĕi tŭn uĕi piêu tơ̆p, pơtho khan tơdrong tơgŭm dơnŏ uĕi, hŏk sinh, bơngai lơ̆m 'yư thi
60||Qua buổi tập huấn đã trang bị cho người trồng rau an toàn các kiến thức về vệ sinh cá nhân tốt để phòng tránh sản phẩm rau bị lây nhiễm chéo tại nhà sơ chế hoặc điểm thu gom, để phòng tránh việc lây lan các bệnh có nguồn gốc từ thực phẩm và các bệnh truyền nhiễm khác||Qua jơnang tập huấn jơh trang bị ăn thương 'binh trồng hla 'nhem an toàn rim hmuôch hral lơm vệ sinh ka nhân 'lưng sư̆ răp tránh san phâm hla 'nhem bị apoh nhiễm chéo lơ̆m hnam sơ chế thoi điêm thu gom , sư̆ răp tránh tơdrong apoh lan rim jĭ ơĭ nguồn gốc từ thực phẩm sơm rim jĭ trŭn nhiễm nai||Qua măng pơtho khan, jơh tơgŭm ăn nă ma pơtăm hla nhĕm an toan rim tơdrong băt lơ̆m vê sinh ơkơ̆u hơgĕi sư̆ phong dơt hla nhĕm lây nhiêm chĕo lơ̆m hnam sơ chê̆ weng dơnŏ pơnhôm, sư̆ phong dơt tơdrong apoh rim jĭ ơĭ tơm đơ̆ng đô sa weng rim tơdrong truyên nhiêm nai||Qua măng pơtho khan, jơh tơgum ăn nă ma pơtăm hla nhĕm an toan rim tơdrong băt lơ̆m vê sinh ơkơ̆u hơgĕi sư̆ phong dơt hla nhĕm lây nhiêm chĕo lơ̆m hnam sơ chê̆ weng dơnŏ pơnhôm, sư̆ phong dơt tơdrong apoh rim jĭ ơĭ tơm đơ̆ng đô sa weng rim tơdrong truyên nhiêm nai||Qua măng pơtho khan, jơh tơgŭm ăn nă ma pơtăm hla nhĕm an toan rim tơdrong băt lơ̆m vê sinh ơkơ̆u hơgĕi sư̆ phong dơt hla nhĕm lây nhĕo lơ̆m hnam sơ chê̆ weng dơnŏ pơnhôm, sư̆ phong dơt tơdrong apoh rim jĭ ơĭ tơm đơ̆ng đô sa weng rim jĭ sư phong dơt jĭ apoh tơdrong truyên nhiêm chă yuô hla nhĕm an toan
1||tuần||tuơ̆n||ruôt bơngai||tơpơ̆h jĭt pơđăm||pơtap
27||Đã công bố tại Quyết định số 1307/QĐ-UBND ngày 12 tháng 4 năm 2017 của Chủ tịch Ủy ban nhân dân tỉnh (Phụ lục 02 kèm theo).||Đã kơwơng 'bă lơ̆m Quyết định ksô 1307 / QĐ - UBND năr 12 khĕi puôn sơnăm 2017 đơng Chủ tịch Ủy ban kon tring tỉnh ( Phụ lục 02 kèm tiê̆ ) .||Jơh 'ban tư lơ̆m Kŭ̆t đinh ksô puôn tơpơ̆h/QĐ-UBND 'năr minh jĭt puôn khĕi minh jĭt 'băl sơnăm 'băl ơbơ̆u không hriêng minh jĭt tơpơ̆h đơ̆ng Chu tich UBND tinh (Phu lŭk 'băl pơtêp adrĭng)||Jơnang kuy đinh lơ̆m Kŭ̆t đinh ksô minh 'băl tơxĭnh không/QĐ-UBND 'năr minh jĭt tơpơ̆h khĕi minh jĭt minh sơnăm 'băl ơbơ̆u không hriêng minh jĭt tơpơ̆h đơ̆ng Chu tich UBND tinh (phĭ tơdrong pơtêp adrĭng)||Đưng rŏng Kŭ̆t đinh ksô 'băl tơpơ̆h không/QĐ-UBND 'năr minh jĭt tơpơ̆h khĕi minh jĭt sơnăm 'băl ơbơ̆u không hriêng minh jĭt tơpơ̆h đơ̆ng UBND tinh 'Binh Đinh lơ̆m tơdrong ăn lêch Kŭ̆t đinh ksô minh tơhngam sơnăm 'băl ơbơ̆u không hriêng minh jĭt drơ̆u/QĐ-UBND 'năr minh jĭt tơpơ̆h khĕi tơhngam sơnăm 'băl ơbơ̆u không hriêng minh jĭt drơ̆u đơ̆ng UBND tinh 'Binh Đinh
37||Bệnh héo tươi: Do nấm Fusarium sesami gây ra, nấm này thường làm chết cây con. Do đó cần phải xử lý hạt giống bằng thuốc trước khi gieo, nếu trị bệnh dùng Copper-B, Alittle để trị.||Bệnh hŏnh arih : Do nấm Fusarium sesami gây lêch , nấm 'nơ̆u thương pơm luôch 'long klo . Do ơ̆i cần phai xử lý gĕl in bơ̆l tơmăn bơgang adrol khi rai , văh trị jĭ dùng Copper - B , Alittle sư̆ trị .||Jĭ ôm phâÊn: Yua mơ̆u Oidium sp tâÊn kông, jĭ apoh pơm lêch pơgloh la, tơ 'bra anu phai ăn tơ̆ng jul adrêch đơ̆ng 'long, bĭ jơnang phun chĭt truh tơ̆ng 'long điêu tri||Jĭ ôm phâÊn: Yua mơ̆u Oidium sp tâÊn kông, jĭ apoh pơm glăi 'long pơnal pơkao. Yăi phun bĭ nhiêm tơmưt jơnang anao ti jĭ lêch jơrông, wă phai chă yuô bơgang Basitox puôn jĭt EC. Ngŏ hnhĕi pơm 'boh lêch||Jĭ đôm 'boh sruôih, dêh tơpă. Kơtăp, plĕi pơm 'nhăt tia. Chă pơgloh lư chă yuô bơgang phong jĭ sư 'long phă 'bĭa pơm ken phă pơnhôm lư chă yuô lơ̆m plĕi
21||Theo Quyết định số 22/2018/QĐ-TTg ngày 08/5/2018 của Thủ tướng Chính phủ về xây dựng, thực hiện hương ước, quy ước||Theo Quyết định ksô 22 / 2018 / QĐ - TTg năr 08 / pơđăm / 2018 đơng Thu tươ̆ng kơpal teh đak lơm xây dựng , thực 'boh soh jrênh ước , quy ước||'Boi Kŭ̆t đinh ksô 'băl jĭt tơhngam sơnăm 'băl ơbơ̆u không hriêng minh jĭt tơhngam/QĐ-TTg 'năr tơxĭnh khĕi tơpơ̆h sơnăm 'băl ơbơ̆u không hriêng minh jĭt tơhngam đơ̆ng Thu tương kơpal teh đak lơ̆m tơjung pơm, quy đinh ksô lương, chưng nhân||Boi Kuyêt đinh ksô 'băl jĭt tơhngam sơnăm 'băl ơbơ̆u không hriêng minh jĭt tơpơ̆h/QĐ-TTg 'năr tơpơ̆h khĕi tơhngam sơnăm 'băl ơbơ̆u không hriêng minh jĭt tơhngam đơ̆ng Thu tương kơpal teh đak lơ̆m tơjung pơm, pơm kuy đinh kông nhân||Kăn kư Kŭ̆t đinh ksô drơ̆u jĭt drơ̆u sơnăm 'băl ơbơ̆u không hriêng minh jĭt tơpơ̆h/QĐ-TTg 'năr tơpơ̆h khĕi tơpơ̆h sơnăm 'băl ơbơ̆u không hriêng minh jĭt tơpơ̆h đơ̆ng kơpal teh đak lơ̆m tơjung pơm Sa, phương, thi trân lơ̆m tơring tinh
18||Của Bộ Giáo dục và Đào tạo, Bộ Tài chính, Bộ Lao động -Thương binh và Xã hội.||Của Bộ Giáo dục sơm Đào pơm , Bô Tai chĭnh , Bộ Lao trôm gôp - Thương binh sơm Xã hội .||Đưng rŏng 'Bô Yao yuk weng Đao tao, 'Bô giăo yŭk weng Đao tao, 'Bĭ Lao đông – Thương 'binh weng Sa hôi||Đưng rŏng 'Băo yuk xưm Đao tăo, Tai chĭnh, 'Bô Tai nguyên weng Môi trương weng 'Bô Tai chĭnh||'Băo 'yŭk weng Đao tao, Xây 'yưng, Sơ Lao đông – Thương 'binh weng Sa hôi, Sơ Tai chĭnh, 'Băo 'yŭk weng Đao tao
2||giã (gạo)||giã ( phe )||khĕi hinh (sa)||tơpu (sa)||kơtŏk ('long)
4||Ai được đi săn?||Ai đơ̆i năm riêng ?||'Năr đĕi năm ayô ưh?||đĕi năm ayô yă?||Mon hăm lơ̆i năm ayô năm sư̆ năm ayô dău đơ̆i năm.
